Name,Title,Year,titleType,genres,runtimeMinutes,DomesticBoxOffice,InternationalBoxOffice,WorldwideBoxOffice,averageRating,numVotes
Nicolas Cage,211,2018,movie,"Action,Drama,Thriller",86,,937961,937961,4.4,8690
Nicolas Cage,8MM,1999,movie,"Crime,Drama,Mystery",123,36443442,59955384,96398826,6.5,134955
Kevin Bacon,A Few Good Men,1992,movie,"Drama,Thriller",138,141340178,95159822,236500000,7.7,267364
Nicolas Cage,A Score To Settle,2019,movie,"Action,Crime,Drama",103,,79992,79992,4.7,6375
Nicolas Cage,Adaptation,2002,movie,"Comedy,Drama",115,22498520,10033236,32531756,7.7,194571
Nicolas Cage,Amos & Andrew,1993,movie,"Comedy,Crime",96,9461630,,9461630,5.7,9401
Kevin Bacon,Apollo 13,1995,movie,"Adventure,Drama,History",140,173772767,162029504,335802271,7.7,298163
Nicolas Cage,Army Of One,2016,movie,"Biography,Comedy,Crime",92,,355210,355210,5.2,8135
Nicolas Cage,Arsenal,2017,movie,"Action,Crime,Thriller",92,,,,4.0,4683
Nicolas Cage,Astro Boy,2009,movie,"Action,Adventure,Animation",94,19551067,22085176,41636243,6.2,37453
Nicolas Cage,Bad Lieutenant: Port of Call New Orleans,2009,movie,"Crime,Drama",122,1702112,10711837,12413949,6.6,78172
Kevin Bacon,Balto,1995,movie,"Adventure,Animation,Drama",78,11268750,,11268750,7.1,44768
Nicolas Cage,Bangkok Dangerous,2008,movie,"Action,Crime,Thriller",99,15298133,31300000,46598133,5.3,57173
Kevin Bacon,Beauty Shop,2005,movie,Comedy,105,36351350,2000000,38351350,5.6,17686
Nicolas Cage,Between Worlds,2018,movie,"Fantasy,Thriller",90,,,,4.0,8694
Nicolas Cage,Birdy,1984,movie,"Drama,War",120,1400000,,1400000,7.2,23684
Kevin Bacon,Black Mass,2015,movie,"Biography,Crime,Drama",123,62575678,36262194,98837872,6.9,183234
Nicolas Cage,Bringing Out The Dead,1999,movie,"Drama,Thriller",121,16640210,,16640210,6.8,71325
Nicolas Cage,Captain Corelli's Mandolin,2001,movie,"Drama,Music,Romance",131,25528495,36569000,62097495,5.9,34820
Nicolas Cage,City of Angels,1998,movie,"Drama,Fantasy,Romance",114,78750909,120000000,198750909,6.7,122303
Nicolas Cage,Color Out of Space,2020,movie,"Horror,Mystery,Sci-Fi",111,765561,301856,1067417,6.2,49540
Nicolas Cage,Con Air,1997,movie,"Action,Crime,Thriller",115,101117573,123000000,224117573,6.9,302867
Kevin Bacon,Cop Car,2015,movie,"Crime,Thriller",88,134552,9106,143658,6.3,34025
Kevin Bacon,"Crazy, Stupid, Love",2011,movie,"Comedy,Drama,Romance",118,84351197,62142777,146493974,7.4,524822
Kevin Bacon,Criminal Law,1989,movie,"Crime,Drama,Thriller",117,9443550,,9443550,5.6,4273
Kevin Bacon,Death Sentence,2007,movie,"Action,Crime,Drama",105,9534258,7373573,16907831,6.7,72568
Kevin Bacon,Digging to China,1998,movie,Drama,98,33000,,33000,6.7,2811
Kevin Bacon,Diner,1982,movie,"Comedy,Drama",110,12592907,,12592907,7.1,21538
Nicolas Cage,Dog Eat Dog,2016,movie,"Action,Crime,Thriller",93,,219319,219319,4.8,9081
Nicolas Cage,Drive Angry,2011,movie,"Action,Comedy,Fantasy",104,10721033,30321550,41042583,5.4,100371
Kevin Bacon,Drunk Stoned Brilliant Dead The Story of the National Lampoon,2015,movie,"Documentary,History",98,62684,,62684,7.2,2433
Nicolas Cage,Dying of the Light,2014,movie,"Action,Drama,Thriller",94,,74639,74639,4.5,10931
Kevin Bacon,Elephant White,2011,movie,"Action,Crime,Thriller",91,,,,5.0,10875
Kevin Bacon,End of the Line,1987,movie,"Comedy,Drama,Romance",103,42000,,42000,5.6,713
Nicolas Cage,Face/Off,1997,movie,"Action,Crime,Sci-Fi",138,112276146,128923838,241199984,7.3,380806
Nicolas Cage,Fast Times at Ridgemont High,1982,movie,"Comedy,Drama",90,27092880,236,27093116,7.1,107275
Nicolas Cage,Fire Birds,1990,movie,"Action,Adventure",85,14760451,,14760451,4.7,6735
Kevin Bacon,Flatliners,1990,movie,"Drama,Horror,Sci-Fi",115,61308153,,61308153,6.5,88445
Kevin Bacon,Footloose,1984,movie,"Drama,Music,Romance",107,80000000,8943,80008943,6.6,82973
Kevin Bacon,Friday the 13th,1980,movie,"Horror,Mystery,Thriller",95,39754601,20000000,59754601,6.4,142695
Kevin Bacon,Frost/Nixon,2008,movie,"Biography,Drama,History",122,18622031,9830914,28452945,7.7,109089
Nicolas Cage,G-Force,2009,movie,"Action,Adventure,Animation",88,119436770,173381071,292817841,5.1,47354
Nicolas Cage,Ghost Rider,2007,movie,"Action,Adventure,Animation",88,115802596,113742993,229545589,5.1,47354
Nicolas Cage,Ghost Rider: Spirit of Vengeance,2012,movie,"Action,Fantasy,Thriller",96,51774002,97443353,149217355,4.3,120982
Nicolas Cage,Gone in 60 Seconds,2000,movie,"Action,Crime,Thriller",118,101643008,131000000,232643008,6.5,281394
Nicolas Cage,Grand Isle,2019,movie,Thriller,97,,5444,5444,4.7,5502
Nicolas Cage,Grindhouse,2007,movie,"Action,Horror,Thriller",191,25031037,25156752,50187789,7.5,185863
Nicolas Cage,Guarding Tess,1994,movie,"Comedy,Drama",96,27023278,,27023278,6.2,18029
Kevin Bacon,"He Said, She Said",1991,movie,"Comedy,Drama,Romance",115,9684702,,9684702,5.6,7091
Kevin Bacon,Hero At Large,1980,movie,"Comedy,Romance",98,15934737,,15934737,5.9,1655
Kevin Bacon,Hollow Man,2000,movie,"Action,Horror,Sci-Fi",112,73209340,117990660,191200000,5.8,132885
Nicolas Cage,Honeymoon in Vegas,1992,movie,"Comedy,Romance,Thriller",96,35208854,,35208854,5.8,18412
Kevin Bacon,In the Cut,2003,movie,"Mystery,Thriller",119,4717455,18976191,23693646,5.4,24843
Nicolas Cage,Inconceivable,2017,movie,"Drama,Thriller",105,,116099,116099,5.2,10267
Nicolas Cage,It Could Happen To You,1994,movie,"Comedy,Drama,Romance",101,37784369,,37784369,6.4,40909
Kevin Bacon,Jayne Mansfield's Car,2013,movie,Drama,122,14836,,14836,6.2,3225
Kevin Bacon,JFK,1991,movie,"Drama,History,Thriller",189,70405498,134994502,205400000,8.0,158267
Nicolas Cage,Jiu Jitsu,2020,movie,"Action,Sci-Fi,Thriller",102,,7427,7427,2.9,9117
Nicolas Cage,Joe,2014,movie,"Crime,Drama",117,373375,,373375,6.8,49216
Nicolas Cage,Kick-Ass,2010,movie,"Action,Comedy,Crime",117,48071303,49459831,97531134,7.6,566582
Nicolas Cage,Kiss of Death,1995,movie,"Crime,Drama,Thriller",101,14942422,,14942422,5.9,19521
Nicolas Cage,Knowing,2009,movie,"Action,Mystery,Sci-Fi",121,79957634,106492683,186450317,6.2,236535
Nicolas Cage,Leaving Las Vegas,1995,movie,"Drama,Romance",111,31983777,17816223,49800000,7.5,126573
Nicolas Cage,Left Behind,2014,movie,"Action,Fantasy,Sci-Fi",110,14019924,6749285,20769209,3.1,40390
Nicolas Cage,Looking Glass,2018,movie,"Mystery,Thriller",103,,80612,80612,4.6,7205
Nicolas Cage,Lord of War,2005,movie,"Crime,Drama",122,24149632,36288095,60437727,7.6,321085
Kevin Bacon,Losing Chase,1996,tvMovie,Drama,93,31176,,31176,6.5,875
Kevin Bacon,Loverboy,2006,movie,"Drama,Romance",84,33223,,33223,5.3,3296
