category,primaryTitle,genres,runtimeMinutes,averageRating,numVotes,primaryName
actor,The Boy in Blue,"Biography,Drama,Sport",100,5.3,1280,Nicolas Cage
actor,Peggy Sue Got Married,"Comedy,Drama,Fantasy",103,6.4,38469,Nicolas Cage
actor,Quicksilver,"Crime,Drama,Thriller",105,5.7,4951,Kevin Bacon
actor,End of the Line,"Comedy,Drama,Romance",103,5.6,713,Kevin Bacon
actor,Lemon Sky,Drama,106,6.4,314,Kevin Bacon
actor,Moonstruck,"Comedy,Drama,Romance",102,7.1,61380,Nicolas Cage
actor,Raising Arizona,"Comedy,Crime",94,7.3,141273,Nicolas Cage
actor,White Water Summer,"Adventure,Drama",90,6.2,5583,Kevin Bacon
actor,She's Having a Baby,"Comedy,Drama,Romance",106,5.9,13149,Kevin Bacon
actor,Fire Birds,"Action,Adventure",85,4.7,6735,Nicolas Cage
actor,Flatliners,"Drama,Horror,Sci-Fi",115,6.5,88445,Kevin Bacon
actor,Industrial Symphony No. 1: The Dream of the Brokenhearted,"Drama,Fantasy,Music",50,7.0,1830,Nicolas Cage
actor,Time to Kill,"Drama,War",110,5.1,855,Nicolas Cage
actor,Tremors,"Comedy,Horror",96,7.1,140576,Kevin Bacon
actor,Wild at Heart,"Comedy,Crime,Drama",125,7.2,94861,Nicolas Cage
actor,Zandalee,"Drama,Romance,Thriller",100,4.3,3910,Nicolas Cage
actor,"He Said, She Said","Comedy,Drama,Romance",115,5.6,7091,Kevin Bacon
actor,A Little Vicious,"Documentary,Short",30,7.9,51,Kevin Bacon
actor,Pyrates,"Comedy,Romance",98,4.7,697,Kevin Bacon
actor,Queens Logic,"Comedy,Drama",100,5.8,1706,Kevin Bacon
actor,A Few Good Men,"Drama,Thriller",138,7.7,267364,Kevin Bacon
actor,Honeymoon in Vegas,"Comedy,Romance,Thriller",96,5.8,18412,Nicolas Cage
actor,Red Rock West,"Crime,Drama,Thriller",98,7.0,23170,Nicolas Cage
actor,Amos & Andrew,"Comedy,Crime",96,5.7,9401,Nicolas Cage
self,Canceled Lives: Letters from the Inside,Documentary,50,8.8,70,Kevin Bacon
actor,Deadfall,"Crime,Drama",98,4.0,3494,Nicolas Cage
actor,The Air Up There,"Comedy,Family,Sport",107,5.5,9177,Kevin Bacon
actor,Apollo 13,"Adventure,Drama,History",140,7.7,298163,Kevin Bacon
actor,Balto,"Adventure,Animation,Drama",78,7.1,44768,Kevin Bacon
actor,Kiss of Death,"Crime,Drama,Thriller",101,5.9,19521,Nicolas Cage
actor,Leaving Las Vegas,"Drama,Romance",111,7.5,126573,Nicolas Cage
